yes                                                            [10.0.0.1]
Galaxy-S8-Shaked                                               [10.0.0.2]
Dahua                                                          [10.0.0.3]
unknow                                                         [10.0.0.5]
h-Carmel-sl-S21                                                [10.0.0.6]
lh-s-Galaxy-S20-FE-5G                                          [10.0.0.7]
WNR2000v5                                                      [10.0.0.8]
RedmiNote8Pro-RedmiN                                          [10.0.0.18]
DESKTOP-0DRD7S7.local                                         [10.0.0.19] = [127.0.0.1]
Heights.local                                                [10.0.0.138]
